Entry,Entry name,Protein names (Simplified),Gene names (primary),Gene names (synonyms),Kinase group,"Length
(AA)",Mass,"Protein names 
(Including synonyms)"
O75914,PAK3_HUMAN,Serine/threonine-protein kinase PAK 3 ,PAK3,OPHN3,STE,559,"62,310",Serine/threonine-protein kinase PAK 3 (EC 2.7.11.1) (Beta-PAK) (Oligophrenin-3) (p21-activated kinase 3) (PAK-3)
O96013,PAK4_HUMAN,Serine/threonine-protein kinase PAK 4 ,PAK4,KIAA1142,STE,591,"64,072",Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4)
Q9P286,PAK5_HUMAN,Serine/threonine-protein kinase PAK 5 ,PAK5,KIAA1264 PAK7,STE,719,"80,745",Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7)
Q9NQU5,PAK6_HUMAN,Serine/threonine-protein kinase PAK 6 ,PAK6,PAK5,STE,681,"74,869",Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6)
Q8TE04,PANK1_HUMAN,Pantothenate kinase 1 ,PANK1,PANK,,598,"64,339",Pantothenate kinase 1 (hPanK) (hPanK1) (EC 2.7.1.33) (Pantothenic acid kinase 1)
Q9BZ23,PANK2_HUMAN,"Pantothenate kinase 2, mitochondrial ",PANK2,C20orf48,,570,"62,681","Pantothenate kinase 2, mitochondrial (hPanK2) (EC 2.7.1.33) (Pantothenic acid kinase 2)"
Q9H999,PANK3_HUMAN,Pantothenate kinase 3 ,PANK3,,,370,"41,094",Pantothenate kinase 3 (hPanK3) (EC 2.7.1.33) (Pantothenic acid kinase 3)
O43252,PAPS1_HUMAN,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 ,PAPSS1,ATPSK1 PAPSS,,624,"70,833",Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]
O95340,PAPS2_HUMAN,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 ,PAPSS2,ATPSK2,,614,"69,501",Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]
Q96RG2,PASK_HUMAN,PAS domain-containing serine/threonine-protein kinase ,PASK,KIAA0135,CAMK,1323,"142,929",PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (hPASK) (EC 2.7.11.1)
Q96KB5,TOPK_HUMAN,Lymphokine-activated killer T-cell-originated protein kinase ,PBK,TOPK,Other,322,"36,085",Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase)
P35558,PCKGC_HUMAN,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] ",PCK1,PEPCK1,,622,"69,195","Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)"
P16234,PGFRA_HUMAN,Platelet-derived growth factor receptor alpha ,PDGFRA,PDGFR2 RHEPDGFRA,TK,1089,"122,670",Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a)
P09619,PGFRB_HUMAN,Platelet-derived growth factor receptor beta ,PDGFRB,PDGFR PDGFR1,TK,1106,"123,968",Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)
Q8N165,PDK1L_HUMAN,Serine/threonine-protein kinase PDIK1L ,PDIK1L,CLIK1L,Other,341,"38,546",Serine/threonine-protein kinase PDIK1L (EC 2.7.11.1) (PDLIM1-interacting kinase 1-like)
Q15118,PDK1_HUMAN,[Pyruvate dehydrogenase ,PDK1,PDHK1,Atypical,436,"49,244","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 1) (PDH kinase 1)"
Q15119,PDK2_HUMAN,[Pyruvate dehydrogenase ,PDK2,PDHK2,Atypical,407,"46,154","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2) (PDKII)"
Q15120,PDK3_HUMAN,[Pyruvate dehydrogenase ,PDK3,PDHK3,Atypical,406,"46,939","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 3)"
Q16654,PDK4_HUMAN,[Pyruvate dehydrogenase ,PDK4,PDHK4,Atypical,411,"46,469","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 4)"
O15530,PDPK1_HUMAN,3-phosphoinositide-dependent protein kinase 1 ,PDPK1,PDK1,AGC,556,"63,152",3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1)
Q6A1A2,PDPK2_HUMAN,Putative 3-phosphoinositide-dependent protein kinase 2 ,PDPK2P,PDPK2,,396,"44,765",Putative 3-phosphoinositide-dependent protein kinase 2 (EC 2.7.11.1) (3-phosphoinositide-dependent protein kinase 2 pseudogene)
O00764,PDXK_HUMAN,Pyridoxal kinase ,PDXK,C21orf124 C21orf97 PKH PNK,,312,"35,102",Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)
P16118,F261_HUMAN,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 ",PFKFB1,F6PK PFRX,,471,"54,681","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 (6PF-2-K/Fru-2,6-P2ase 1) (PFK/FBPase 1) (6PF-2-K/Fru-2,6-P2ase liver isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]"
O60825,F262_HUMAN,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 ",PFKFB2,,,505,"58,477","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (6PF-2-K/Fru-2,6-P2ase 2) (PFK/FBPase 2) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]"
Q16875,F263_HUMAN,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 ",PFKFB3,,,520,"59,609","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 (6PF-2-K/Fru-2,6-P2ase 3) (PFK/FBPase 3) (6PF-2-K/Fru-2,6-P2ase brain/placenta-type isozyme) (Renal carcinoma antigen NY-REN-56) (iPFK-2) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]"
Q16877,F264_HUMAN,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4 ",PFKFB4,,,469,"54,040","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4 (6PF-2-K/Fru-2,6-P2ase 4) (PFK/FBPase 4) (6PF-2-K/Fru-2,6-P2ase testis-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]"
P17858,PFKAL_HUMAN,"ATP-dependent 6-phosphofructokinase, liver type ",PFKL,,,780,"85,018","ATP-dependent 6-phosphofructokinase, liver type (ATP-PFK) (PFK-L) (EC 2.7.1.11) (6-phosphofructokinase type B) (Phosphofructo-1-kinase isozyme B) (PFK-B) (Phosphohexokinase)"
P08237,PFKAM_HUMAN,"ATP-dependent 6-phosphofructokinase, muscle type ",PFKM,PFKX,,780,"85,183","ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)"
Q01813,PFKAP_HUMAN,"ATP-dependent 6-phosphofructokinase, platelet type ",PFKP,PFKF,,784,"85,596","ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase)"
P00558,PGK1_HUMAN,Phosphoglycerate kinase 1 ,PGK1,PGKA,,417,"44,615",Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)
P07205,PGK2_HUMAN,Phosphoglycerate kinase 2 ,PGK2,PGKB,,417,"44,796","Phosphoglycerate kinase 2 (EC 2.7.2.3) (Phosphoglycerate kinase, testis specific)"
Q16816,PHKG1_HUMAN,"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform ",PHKG1,PHKG,CAMK,387,"45,024","Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (PHK-gamma-M) (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1) (EC 2.7.11.26)"
P15735,PHKG2_HUMAN,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform ",PHKG2,,CAMK,406,"46,442","Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (PHK-gamma-LT) (PHK-gamma-T) (EC 2.7.11.19) (PSK-C3) (Phosphorylase kinase subunit gamma-2)"
Q9BTU6,P4K2A_HUMAN,Phosphatidylinositol 4-kinase type 2-alpha ,PI4K2A,,,479,"54,022",Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)
Q8TCG2,P4K2B_HUMAN,Phosphatidylinositol 4-kinase type 2-beta ,PI4K2B,,,481,"54,744",Phosphatidylinositol 4-kinase type 2-beta (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-beta) (PI4KII-BETA)
P42356,PI4KA_HUMAN,Phosphatidylinositol 4-kinase alpha ,PI4KA,PIK4 PIK4CA,,2102,"236,830",Phosphatidylinositol 4-kinase alpha (PI4-kinase alpha) (PI4K-alpha) (PtdIns-4-kinase alpha) (EC 2.7.1.67)
A4QPH2,PI4P2_HUMAN,Putative phosphatidylinositol 4-kinase alpha-like protein P2,PI4KAP2,,,592,"66,944",Putative phosphatidylinositol 4-kinase alpha-like protein P2
Q9UBF8,PI4KB_HUMAN,Phosphatidylinositol 4-kinase beta ,PI4KB,PIK4CB,,816,"91,379",Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92) (PI4KIII)
O00443,P3C2A_HUMAN,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha ,PIK3C2A,,,1686,"190,680",Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)
O00750,P3C2B_HUMAN,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta ,PIK3C2B,,,1634,"184,768",Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)
O75747,P3C2G_HUMAN,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma ,PIK3C2G,,,1445,"165,715",Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma (PI3K-C2-gamma) (PtdIns-3-kinase C2 subunit gamma) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-gamma)
Q8NEB9,PK3C3_HUMAN,Phosphatidylinositol 3-kinase catalytic subunit type 3 ,PIK3C3,VPS34,,887,"101,549",Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (PtdIns-3-kinase type 3) (EC 2.7.1.137) (Phosphatidylinositol 3-kinase p100 subunit) (Phosphoinositide-3-kinase class 3) (hVps34)
P42336,PK3CA_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform ",PIK3CA,,,1068,"124,284","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)"
P42338,PK3CB_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform ",PIK3CB,PIK3C1,,1070,"122,762","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta)"
O00329,PK3CD_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform ",PIK3CD,,,1044,"119,479","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)"
P48736,PK3CG_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform ",PIK3CG,,,1102,"126,454","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)"
Q99570,PI3R4_HUMAN,Phosphoinositide 3-kinase regulatory subunit 4 ,PIK3R4,VPS15,Other,1358,"153,103",Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)
Q9Y2I7,FYV1_HUMAN,1-phosphatidylinositol 3-phosphate 5-kinase ,PIKFYVE,KIAA0981 PIP5K3,,2098,"237,136",1-phosphatidylinositol 3-phosphate 5-kinase (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase)
P11309,PIM1_HUMAN,Serine/threonine-protein kinase pim-1 ,PIM1,,CAMK,313,"35,686",Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)
Q9P1W9,PIM2_HUMAN,Serine/threonine-protein kinase pim-2 ,PIM2,,CAMK,311,"34,190",Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Pim-2h)
Q86V86,PIM3_HUMAN,Serine/threonine-protein kinase pim-3 ,PIM3,,CAMK,326,"35,891",Serine/threonine-protein kinase pim-3 (EC 2.7.11.1)
Q9BXM7,PINK1_HUMAN,"Serine/threonine-protein kinase PINK1, mitochondrial ",PINK1,,Other,581,"62,769","Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)"
P48426,PI42A_HUMAN,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha ,PIP4K2A,PIP5K2 PIP5K2A,,406,"46,225",Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (PIP5KIII) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(4)P-5-kinase B isoform) (PtdIns(4)P-5-kinase C isoform) (PtdIns(5)P-4-kinase isoform 2-alpha)
P78356,PI42B_HUMAN,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta ,PIP4K2B,PIP5K2B,,416,"47,378",Phosphatidylinositol 5-phosphate 4-kinase type-2 beta (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-beta) (Diphosphoinositide kinase 2-beta) (Phosphatidylinositol 5-phosphate 4-kinase type II beta) (PI(5)P 4-kinase type II beta) (PIP4KII-beta) (PtdIns(5)P-4-kinase isoform 2-beta)
Q8TBX8,PI42C_HUMAN,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma ,PIP4K2C,PIP5K2C,,421,"47,300",Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma (EC 2.7.1.149) (Phosphatidylinositol 5-phosphate 4-kinase type II gamma) (PI(5)P 4-kinase type II gamma) (PIP4KII-gamma)
Q99755,PI51A_HUMAN,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha ,PIP5K1A,,,562,"62,633",Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha (PIP5K1-alpha) (PtdIns(4)P-5-kinase 1 alpha) (EC 2.7.1.68) (68 kDa type I phosphatidylinositol 4-phosphate 5-kinase alpha) (Phosphatidylinositol 4-phosphate 5-kinase type I alpha) (PIP5KIalpha)
O14986,PI51B_HUMAN,Phosphatidylinositol 4-phosphate 5-kinase type-1 beta ,PIP5K1B,STM7,,540,"61,036",Phosphatidylinositol 4-phosphate 5-kinase type-1 beta (PIP5K1-beta) (PtdIns(4)P-5-kinase 1 beta) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I beta) (PIP5KIbeta) (Protein STM-7) (Type I phosphatidylinositol 4-phosphate 5-kinase beta)
O60331,PI51C_HUMAN,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma ,PIP5K1C,KIAA0589,,668,"73,260",Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1-gamma) (PtdIns(4)P-5-kinase 1 gamma) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I gamma) (PIP5KIgamma)
Q5T9C9,PI5L1_HUMAN,Phosphatidylinositol 4-phosphate 5-kinase-like protein 1 ,PIP5KL1,,,394,"44,572",Phosphatidylinositol 4-phosphate 5-kinase-like protein 1 (PI(4)P 5-kinase-like protein 1) (PtdIns(4)P-5-kinase-like protein 1) (EC 2.7.1.68)
Q504Y2,PKDCC_HUMAN,Extracellular tyrosine-protein kinase PKDCC ,PKDCC,SGK493 VLK,Other,493,"54,132","Extracellular tyrosine-protein kinase PKDCC (EC 2.7.10.2) (Protein kinase domain-containing protein, cytoplasmic) (Protein kinase-like protein SgK493) (Sugen kinase 493) (Vertebrate lonesome kinase)"
P30613,KPYR_HUMAN,Pyruvate kinase PKLR ,PKLR,PK1 PKL,,574,"61,830",Pyruvate kinase PKLR (EC 2.7.1.40) (Pyruvate kinase 1) (Pyruvate kinase isozymes L/R) (R-type/L-type pyruvate kinase) (Red cell/liver pyruvate kinase)
P14618,KPYM_HUMAN,Pyruvate kinase PKM ,PKM,OIP3 PK2 PK3 PKM2,,531,"57,937",Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)
Q99640,PMYT1_HUMAN,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase ,PKMYT1,MYT1,Other,499,"54,521",Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (EC 2.7.11.1) (Myt1 kinase)
Q16512,PKN1_HUMAN,Serine/threonine-protein kinase N1 ,PKN1,PAK1 PKN PRK1 PRKCL1,AGC,942,"103,932",Serine/threonine-protein kinase N1 (EC 2.7.11.13) (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N)
Q16513,PKN2_HUMAN,Serine/threonine-protein kinase N2 ,PKN2,PRK2 PRKCL2,AGC,984,"112,035",Serine/threonine-protein kinase N2 (EC 2.7.11.13) (PKN gamma) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2)
Q6P5Z2,PKN3_HUMAN,Serine/threonine-protein kinase N3 ,PKN3,PKNBETA,AGC,889,"99,421",Serine/threonine-protein kinase N3 (EC 2.7.11.13) (Protein kinase PKN-beta) (Protein-kinase C-related kinase 3)
P53350,PLK1_HUMAN,Serine/threonine-protein kinase PLK1 ,PLK1,PLK,Other,603,"68,255",Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)
Q9NYY3,PLK2_HUMAN,Serine/threonine-protein kinase PLK2 ,PLK2,SNK,Other,685,"78,237",Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)
Q9H4B4,PLK3_HUMAN,Serine/threonine-protein kinase PLK3 ,PLK3,CNK FNK PRK,Other,646,"71,629",Serine/threonine-protein kinase PLK3 (EC 2.7.11.21) (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase)
O00444,PLK4_HUMAN,Serine/threonine-protein kinase PLK4 ,PLK4,SAK STK18,Other,970,"108,972",Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)
A4D2B8,PM2P1_HUMAN,Putative postmeiotic segregation increased 2-like protein 1 ,PMS2P1,PMS2L1 PMS2L13 PMS2L6 PMS2L8 PMS3 PMS8 PMSR2,,440,"47,508",Putative postmeiotic segregation increased 2-like protein 1 (PMS2-related protein 2) (Postmeiotic segregation increased 2-like protein 13) (Postmeiotic segregation increased 2-like protein 6) (Postmeiotic segregation increased 2-like protein 8) (Postmeiotic segregation increased protein 3) (hPMS3) (Postmeiotic segregation increased protein 8) (Putative postmeiotic segregation increased 2 pseudogene 1)
Q13670,PM2PB_HUMAN,Putative postmeiotic segregation increased 2-like protein 11 ,PMS2P11,PMS2L11 PMSR6,,270,"28,555",Putative postmeiotic segregation increased 2-like protein 11 (PMS2-related protein 6) (Putative postmeiotic segregation increased 2 pseudogene 11)
Q15126,PMVK_HUMAN,Phosphomevalonate kinase ,PMVK,PMKI,,192,"21,995",Phosphomevalonate kinase (PMKase) (hPMK) (EC 2.7.4.2)
Q6P2M8,KCC1B_HUMAN,Calcium/calmodulin-dependent protein kinase type 1B ,PNCK,,CAMK,343,"38,500",Calcium/calmodulin-dependent protein kinase type 1B (EC 2.7.11.17) (CaM kinase I beta) (CaM kinase IB) (CaM-KI beta) (CaMKI-beta) (Pregnancy up-regulated non-ubiquitously-expressed CaM kinase)
Q96T60,PNKP_HUMAN,Bifunctional polynucleotide phosphatase/kinase ,PNKP,,,521,"57,076",Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)]
Q9H5K3,SG196_HUMAN,Protein O-mannose kinase ,POMK,SGK196,Other,350,"40,050",Protein O-mannose kinase (POMK) (EC 2.7.1.183) (Protein kinase-like protein SgK196) (Sugen kinase 196)
Q6PFW1,VIP1_HUMAN,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 ,PPIP5K1,HISPPD2A IP6K IPS1 KIAA0377 VIP1,,1433,"159,521",Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 (EC 2.7.4.21) (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 1) (Histidine acid phosphatase domain-containing protein 2A) (IP6 kinase) (Inositol pyrophosphate synthase 1) (InsP6 and PP-IP5 kinase 1) (VIP1 homolog) (hsVIP1)
O43314,VIP2_HUMAN,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 ,PPIP5K2,HISPPD1 KIAA0433 VIP2,,1243,"140,407",Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.21) (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (hsVIP2)
Q13131,AAPK1_HUMAN,5'-AMP-activated protein kinase catalytic subunit alpha-1 ,PRKAA1,AMPK1,CAMK,559,"64,009",5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)
P54646,AAPK2_HUMAN,5'-AMP-activated protein kinase catalytic subunit alpha-2 ,PRKAA2,AMPK AMPK2,CAMK,552,"62,320",5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)
P17612,KAPCA_HUMAN,cAMP-dependent protein kinase catalytic subunit alpha ,PRKACA,PKACA,AGC,351,"40,590",cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)
